"","X1","age","sex","education","pes19_votechoice2019","vote_liberal","vote_conservative","vote_bloc","vote_ndp","vote_green","vote_ppc","vote_other","vote_spoil","age_cat"
"1058",1096,41,"Female","Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"1059",1097,79,"Male","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[65,Inf)"
"1060",1099,41,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1061",1100,26,"Female","Bachelors","NDP",0,0,0,1,0,0,0,0,"[18,30)"
"1062",1101,68,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1063",1102,58,"Female","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"1064",1103,30,"Female","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"1065",1104,48,"Female","High School","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"1066",1105,60,"Female","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"1067",1106,50,"Male","High School","Another party (specify)",0,0,0,0,0,0,1,0,"[50,65)"
"1068",1107,31,"Female","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"1069",1108,36,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1070",1109,50,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"1071",1110,55,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"1072",1111,58,"Female","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"1073",1112,24,"Female","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[18,30)"
"1074",1113,68,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1075",1114,57,"Male","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"1076",1115,38,"Female","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"1077",1116,75,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1078",1117,28,"Male","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[18,30)"
"1079",1118,35,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1080",1119,54,"Female","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"1081",1120,42,"Female","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[30,50)"
"1082",1121,47,"Male","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"1083",1122,66,"Male","High School","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1084",1123,56,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"1085",1124,70,"Female","Graduate Degree","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1086",1125,84,"Female","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"1087",1126,66,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1088",1127,22,"Female","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[18,30)"
"1089",1128,91,"Male","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[65,Inf)"
"1090",1129,65,"Female","High School","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1091",1130,71,"Female","Below High School","NDP",0,0,0,1,0,0,0,0,"[65,Inf)"
"1092",1131,35,"Female","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"1093",1132,49,"Male","High School","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
